Count,coordinates
11198,"[21.1463,79.0849]"
72,"[21.1465,75.8843]"
2,"[21.1578,73.7915]"
73,"[21.1682,79.6488]"
18,"[21.1724,73.5648]"
9,"[21.186,72.7641]"
87,"[21.1915,81.2762]"
30924,"[21.198,72.83]"
1201,"[21.2092,81.4285]"
97,"[21.2167,81.4333]"
5936,"[21.2333,81.6333]"
2,"[21.2419,75.2998]"
19,"[21.2588,81.2666]"
273,"[21.2638,78.4587]"
19,"[21.2863,72.9683]"
738,"[21.2992,70.2462]"
24,"[21.3065,81.5029]"
90,"[21.3295,83.6187]"
4,"[21.3314,80.2348]"
259,"[21.3346,71.3095]"
23,"[21.3376,70.7533]"
853,"[21.3528,74.8823]"
68,"[21.3572,72.0373]"
107,"[21.364,74.2328]"
3,"[21.3833,79.7333]"
44,"[21.3927,79.3218]"
9,"[21.4603,80.192]"
485,"[21.4653,83.9757]"
13,"[21.4667,73.9667]"
145,"[21.4958,86.9348]"
24,"[21.5002,82.0011]"
39,"[21.5098,83.8726]"
2,"[21.5116,79.9256]"
504,"[21.5197,70.4598]"
17,"[21.5269,71.8252]"
178,"[21.5271,80.9988]"
4,"[21.5386,84.9651]"
39,"[21.5494,74.4663]"
347,"[21.5861,83.0785]"
228,"[21.5998,71.2117]"
469,"[21.6107,82.2553]"
5,"[21.6248,87.5182]"
5,"[21.6259,80.3314]"
606,"[21.6324,72.99]"
13,"[21.6341,82.9334]"
867,"[21.6422,69.6093]"
33,"[21.6589,82.1608]"
4,"[21.6866,75.1004]"
2515,"[21.6948,72.9805]"
17,"[21.7143,81.5307]"
27,"[21.74,86.8447]"
25,"[21.7444,84.3455]"
189,"[21.7576,70.6317]"
12630,"[21.7629,72.1533]"
7,"[21.7629,85.9708]"
242,"[21.7789,87.7464]"
72,"[21.8176,80.1923]"
31,"[21.82,75.6157]"
41,"[21.8243,76.3509]"
543,"[21.8378,87.4253]"
6,"[21.8476,71.3121]"
245,"[21.8553,84.007]"
46,"[21.8663,88.1835]"
6,"[21.8836,85.8289]"
121,"[21.8976,83.3966]"
29,"[21.8984,78.5632]"
308,"[21.9019,77.8994]"
13,"[21.929,69.7781]"
100,"[21.9343,86.7245]"
340,"[21.9618,70.8056]"
3,"[21.971,87.6314]"
17,"[22.004,87.9602]"
11,"[22.0062,82.5748]"
17,"[22.0392,74.895]"
68,"[22.0559,72.801]"
58,"[22.057,78.9396]"
454,"[22.0597,88.1101]"
1,"[22.0677,81.9935]"
293,"[22.0691,88.0318]"
8,"[22.0789,82.0379]"
609,"[22.08,82.1554]"
329,"[22.0805,87.3509]"
2,"[22.107,85.3755]"
2,"[22.1129,87.2361]"
35,"[22.116,84.033]"
9,"[22.1704,83.3524]"
5,"[22.1743,74.8137]"
322,"[22.2016,69.6456]"
8,"[22.2285,84.8657]"
277,"[22.2699,79.4256]"
5625,"[22.2916,70.7932]"
20,"[22.2977,87.9231]"
7537,"[22.3003,73.2051]"
25,"[22.3125,73.1771]"
12,"[22.3131,73.1434]"
75,"[22.3174,72.6192]"
1077,"[22.3397,87.325]"
361,"[22.3458,82.6963]"
4,"[22.3978,84.7639]"
435,"[22.4022,72.8972]"
14,"[22.4167,88.1167]"
239,"[22.4221,87.321]"
6,"[22.4343,87.8591]"
12,"[22.4351,70.5963]"
2067,"[22.4661,70.0691]"
8,"[22.4731,87.961]"
22,"[22.4773,72.8042]"
364,"[22.5032,73.4724]"
6,"[22.529,88.368]"
27,"[22.535,75.8323]"
6,"[22.5358,72.7177]"
1,"[22.5424,72.9039]"
3275,"[22.5525,72.9552]"
375,"[22.5589,75.7654]"
77493,"[22.5655,88.3653]"
2,"[22.5677,71.8106]"
5,"[22.572,88.367]"
5798,"[22.5758,88.3152]"
6,"[22.5856,88.0069]"
30,"[22.5978,80.3687]"
3,"[22.6008,75.2969]"
11,"[22.6048,75.6935]"
558,"[22.6078,73.4627]"
4,"[22.6139,70.945]"
3,"[22.6172,77.7632]"
2,"[22.6413,88.3773]"
520,"[22.6605,88.3515]"
26,"[22.6618,88.8541]"
663,"[22.6939,72.8616]"
747,"[22.6955,73.1109]"
23060,"[22.7163,75.8316]"
21,"[22.7165,88.3807]"
12004,"[22.7192,71.6469]"
39,"[22.721,88.486]"
461,"[22.7257,88.343]"
27,"[22.7278,88.4391]"
30,"[22.7425,88.3733]"
37,"[22.7459,83.9504]"
14,"[22.7495,77.7311]"
31,"[22.7519,72.681]"
301,"[22.7519,88.3444]"
4,"[22.7552,73.1472]"
